銀行分部,位置,經緯度
營業部,台北市中山北路二段50號,"['25.056305', '121.522453']"
長安東路分行,台北市中山區長安東路一段36號,"['25.048571', '121.526534']"
城東分行,台北市中山區南京東路二段90號,"['25.051845', '121.531096']"
士林分行,台北市士林區中正路337號,"['25.094513', '121.522963']"
士東分行,台北市士林區中山北路六段360號,"['25.112069', '121.526417']"
玉成分行,台北市南港區忠孝東路六段126號,"['25.047669', '121.585004']"
福港分行,台北市士林區承德路四段310號,"['25.089658', '121.518464']"
忠孝分行,台北市大安區忠孝東路四段107號,"['25.041751', '121.548311']"
延平分行,台北市大同區延平北路2段69號,"['25.055899', '121.511761']"
木柵分行,台北市文山區木柵路三段92號,"['24.988546', '121.567155']"
八德分行,台北市松山區八德路三段178號,"['25.047893', '121.555745']"
松南分行,台北市信義區福德街15-1號,"['25.03654', '121.58032']"
永吉分行,台北市信義區永吉路199號,"['25.045796', '121.573505']"
中山分行,台北市中山區中山北路二段162號,"['25.063083', '121.522329']"
北投分行,台北市北投區中央北路一段2號,"['25.133611', '121.501465']"
石牌分行,台北市北投區文林北路216號,"['25.108032', '121.514585']"
大安分行,台北市大安區仁愛路四段37號,"['25.03815', '121.546524']"
大同分行,台北市大同區重慶北路三段186號,"['25.069175', '121.51348']"
古亭分行,台北市中正區羅斯福路三段100號,"['25.021416', '121.527042']"
雙園分行,台北市萬華區西園路二段152號,"['25.029955', '121.496073']"
萬華分行,台北市萬華區萬大路482號,"['25.0197459', '121.4974401']"
建成分行,台北市大同區南京西路22號,"['25.052572', '121.519979']"
市府分行,台北市信義區市府路1號1樓,"['25.037525', '121.563782']"
南港分行,台北市南港區三重路19之5號,"['25.056985', '121.613732']"
景美分行,台北市文山區景文街64號,"['24.990776', '121.541071']"
興隆分行,台北市文山區興隆路三段69號,"['25.000187', '121.555781']"
內湖分行,台北市內湖區成功路三段174巷6號,"['25.080945', '121.590569']"
文德分行,台北市內湖區文德路42號,"['25.078273', '121.5804']"
民生分行,台北市松山區民生東路五段163-1號,"['25.059274', '121.562837']"
信義分行,台北市大安區信義路四段299號,"['25.033352', '121.555407']"
莊敬分行,台北市信義區莊敬路286號,"['25.028682', '121.562786']"
東門分行,台北市中正區信義路二段265號,"['25.033832', '121.531793']"
松江分行,台北市中山區松江路200號,"['25.057262', '121.53287']"
和平分行,台北市大安區復興南路二段236號,"['25.025056', '121.543129']"
南門分行,台北市中正區金華街17號,"['25.032625', '121.518737']"
西松分行,台北市松山區南京東路四段75-1號,"['25.0516582', '121.5537489']"
桂林分行,台北市萬華區桂林路52號,"['25.037806', '121.504414']"
敦和分行,台北市大安區敦化南路二段97號1樓,"['25.028953', '121.549172']"
臨沂分行,台北市中正區仁愛路二段61號,"['25.038472', '121.530143']"
中崙分行,台北市中山區復興北路6號,"['25.0479039', '121.543789']"
基隆路分行,台北市信義區基隆路二段149號,"['25.026808', '121.55569']"
師大分行,台北市大安區和平東路一段178號,"['25.026277', '121.5294']"
永春分行,台北市信義區忠孝東路5段412號,"['25.040707', '121.57517']"
懷生分行,台北市大安區忠孝東路三段215號,"['25.041862', '121.539605']"
民權分行,台北市中山區民權東路三段37號,"['25.062585', '121.542331']"
社子分行,台北市士林區延平北路五段225號,"['25.084295', '121.509766']"
港都分行,高雄市苓雅區中山二路358號,"['22.616698', '120.303742']"
西湖分行,台北市內湖區內湖路一段240號,"['25.082173', '121.56553']"
中港分行,台中市台灣大道二段218號1樓,"['24.15255', '120.66885']"
新莊分行,新北市新莊區新泰路227號,"['25.03936', '121.446101']"
